Input: collection-export-2026-05-20.json
Total valid stamps: 4517
Invalid/missing size entries skipped: 0

Size (width x height) | Count
------------------------|------
0 x 0                   | 188
3 x 41                  | 1
13 x 13                 | 1
19 x 23                 | 3
19 x 24                 | 6
20 x 24                 | 11
20 x 25                 | 25
21 x 23                 | 3
21 x 25                 | 39
21 x 26                 | 72
21 x 30                 | 53
21 x 31                 | 4
21 x 39                 | 1
22 x 26                 | 317
22 x 27                 | 4
22 x 28                 | 4
22 x 31                 | 13
22 x 32                 | 1
22 x 34                 | 1
22 x 36                 | 1
22 x 40                 | 4
23 x 26                 | 1
23 x 28                 | 6
23 x 31                 | 21
23 x 33                 | 21
23 x 34                 | 2
24 x 28                 | 5
24 x 29                 | 6
24 x 31                 | 9
24 x 32                 | 7
25 x 20                 | 12
25 x 21                 | 15
25 x 25                 | 10
25 x 29                 | 1
25 x 30                 | 6
25 x 31                 | 25
25 x 32                 | 177
25 x 36                 | 415
25 x 37                 | 2
25 x 39                 | 13
26 x 21                 | 4
26 x 22                 | 137
26 x 26                 | 4
26 x 29                 | 6
26 x 30                 | 4
26 x 31                 | 10
26 x 32                 | 34
26 x 34                 | 110
26 x 35                 | 20
26 x 36                 | 179
26 x 37                 | 173
26 x 38                 | 2
27 x 27                 | 2
27 x 30                 | 10
27 x 32                 | 3
28 x 23                 | 2
28 x 28                 | 10
28 x 35                 | 2
28 x 38                 | 3
29 x 27                 | 10
29 x 28                 | 6
30 x 22                 | 7
30 x 26                 | 3
30 x 27                 | 30
30 x 30                 | 9
30 x 37                 | 4
30 x 38                 | 5
30 x 40                 | 119
31 x 22                 | 10
31 x 24                 | 3
31 x 25                 | 6
31 x 26                 | 11
31 x 27                 | 1
31 x 31                 | 4
31 x 38                 | 1
31 x 39                 | 4
31 x 40                 | 4
31 x 41                 | 12
32 x 22                 | 1
32 x 24                 | 7
32 x 25                 | 31
32 x 26                 | 4
32 x 30                 | 6
32 x 33                 | 3
32 x 40                 | 10
33 x 22                 | 2
33 x 23                 | 3
33 x 24                 | 1
33 x 28                 | 1
33 x 29                 | 1
33 x 30                 | 1
33 x 32                 | 1
33 x 33                 | 3
33 x 45                 | 2
34 x 24                 | 4
34 x 26                 | 19
34 x 29                 | 4
35 x 25                 | 5
35 x 40                 | 1
36 x 24                 | 1
36 x 25                 | 527
36 x 26                 | 285
36 x 32                 | 1
36 x 36                 | 59
36 x 50                 | 7
37 x 25                 | 14
37 x 26                 | 624
38 x 23                 | 2
38 x 30                 | 1
39 x 31                 | 10
39 x 32                 | 10
39 x 39                 | 1
40 x 24                 | 8
40 x 29                 | 3
40 x 30                 | 273
40 x 31                 | 2
40 x 40                 | 5
40 x 60                 | 1
41 x 27                 | 53
41 x 31                 | 3
42 x 25                 | 3
43 x 26                 | 3
44 x 28                 | 1
45 x 25                 | 1
45 x 33                 | 5
46 x 28                 | 2
47 x 25                 | 2
48 x 48                 | 1
49 x 33                 | 1
50 x 23                 | 2
50 x 26                 | 4
50 x 33                 | 2
50 x 36                 | 1
51 x 22                 | 4
51 x 26                 | 2
52 x 30                 | 3
62 x 30                 | 5
78 x 33                 | 1
110 x 150               | 2
144 x 75                | 2
